Range/Commissionary,District,Police Station/Unit
"Ambala Range","AMBALA","AMBALA CANTT"
"Ambala Range","AMBALA","AMBALA CITY"
"Ambala Range","AMBALA","AMBALA SADAR"
"Ambala Range","AMBALA","BALDEV NAGAR"
"Ambala Range","AMBALA","BARARA"
"Ambala Range","AMBALA","MAHESH NAGAR"
"Ambala Range","AMBALA","MULLANA"
"Ambala Range","AMBALA","NAGGAL"
"Ambala Range","AMBALA","NARAINGARH"
"Ambala Range","AMBALA","PANJOKHRA"
"Ambala Range","AMBALA","PARAO AMBALA CANTT"
"Ambala Range","AMBALA","PS CYBER CRIME AMBALA"
"Ambala Range","AMBALA","RAIPUR RANI(Ambala)"
"Ambala Range","AMBALA","SAHA"
"Ambala Range","KURUKSHETRA","BABAIN"
"Ambala Range","KURUKSHETRA","CITY PEHOWA"
"Ambala Range","KURUKSHETRA","CYBER CRIME PS KURUKSHETRA"
"Ambala Range","KURUKSHETRA","ISMAILABAD"
"Ambala Range","KURUKSHETRA","JHANSA"
"Ambala Range","KURUKSHETRA","KRISHANA GATE THANESAR"
"Ambala Range","KURUKSHETRA","KURUKSHETRA UNIVERSITY"
"Ambala Range","KURUKSHETRA","LADWA"
"Ambala Range","KURUKSHETRA","PEHOWA"
"Ambala Range","KURUKSHETRA","SHAHABAD"
"Ambala Range","KURUKSHETRA","THANESAR CITY"
"Ambala Range","KURUKSHETRA","THANESAR SADAR"
"Ambala Range","KURUKSHETRA","TRAFFIC"
"Ambala Range","KURUKSHETRA","WOMEN POLICE STATION"
"Ambala Range","YAMUNA NAGAR","BILASPUR"
"Ambala Range","YAMUNA NAGAR","BURIA"
"Ambala Range","YAMUNA NAGAR","CHHACHHRAULI"
"Ambala Range","YAMUNA NAGAR","CHHAPAR"
"Ambala Range","YAMUNA NAGAR","Cyber Crime PS Yamunanagar"
"Ambala Range","YAMUNA NAGAR","FARAKPUR"
"Ambala Range","YAMUNA NAGAR","GANDHI NAGAR YAMUNANAGAR"
"Ambala Range","YAMUNA NAGAR","JAGADDHRI SADAR"
"Ambala Range","YAMUNA NAGAR","JAGADHRI CITY"
"Ambala Range","YAMUNA NAGAR","JATHLANA"
"Ambala Range","YAMUNA NAGAR","PRATAP NAGAR"
"Ambala Range","YAMUNA NAGAR","RADAUR"
"Ambala Range","YAMUNA NAGAR","SADHAURA"
"Ambala Range","YAMUNA NAGAR","SEC.17 HUDA JAGADHRI"
"Ambala Range","YAMUNA NAGAR","TRAFFIC"
"Ambala Range","YAMUNA NAGAR","WOMEN POLICE STATION"
"Ambala Range","YAMUNA NAGAR","YAMUNA NAGAR CITY"
"Ambala Range","YAMUNA NAGAR","YAMUNA NAGAR SADAR"
"Faridabad Commissionerate","FARIDABAD","ADARSH NAGAR"
"Faridabad Commissionerate","FARIDABAD","BALLABHGARH CITY"
"Faridabad Commissionerate","FARIDABAD","BALLABHGARH SADAR"
"Faridabad Commissionerate","FARIDABAD","BHUPANI"
"Faridabad Commissionerate","FARIDABAD","CHHANSA"
"Faridabad Commissionerate","FARIDABAD","DABUA"
"Faridabad Commissionerate","FARIDABAD","DHAUJ"
"Faridabad Commissionerate","FARIDABAD","FARIDABAD CENTRAL"
"Faridabad Commissionerate","FARIDABAD","FARIDABAD KOTWALI"
"Faridabad Commissionerate","FARIDABAD","FARIDABAD N.I.T."
"Faridabad Commissionerate","FARIDABAD","FARIDABAD OLD"
"Faridabad Commissionerate","FARIDABAD","KHERIPUL"
"Faridabad Commissionerate","FARIDABAD","MUJESAR"
"Faridabad Commissionerate","FARIDABAD","Metro Police Station Faridabad"
"Faridabad Commissionerate","FARIDABAD","PALLA"
"Faridabad Commissionerate","FARIDABAD","Polilce Station B.P.T.P."
"Faridabad Commissionerate","FARIDABAD","S.G.M. NAGAR"
"Faridabad Commissionerate","FARIDABAD","SARAI KHAWAJA"
"Faridabad Commissionerate","FARIDABAD","SARAN"
"Faridabad Commissionerate","FARIDABAD","SECTOR - 8"
"Faridabad Commissionerate","FARIDABAD","SECTOR-17"
"Faridabad Commissionerate","FARIDABAD","SECTOR-31 FARIDABAD"
"Faridabad Commissionerate","FARIDABAD","SECTOR-58"
"Faridabad Commissionerate","FARIDABAD","SURAJ KUND"
"Faridabad Commissionerate","FARIDABAD","TIGAON"
"Faridabad Commissionerate","FARIDABAD","WOMEN POLICE STATION"
"Faridabad Commissionerate","FARIDABAD","Women Police Station Ballabgarh"
"Faridabad Commissionerate","FARIDABAD","Women Police Station NIT"
"Gurugram Commissionerate","GURUGRAM","BADSHAHPUR"
"Gurugram Commissionerate","GURUGRAM","BAJGHERA"
"Gurugram Commissionerate","GURUGRAM","BHONDSI"
"Gurugram Commissionerate","GURUGRAM","BILASPUR GURUGRAM"
"Gurugram Commissionerate","GURUGRAM","CITY SOHANA"
"Gurugram Commissionerate","GURUGRAM","CIVIL LINES GURGAON"
"Gurugram Commissionerate","GURUGRAM","DLF PH-3rd"
"Gurugram Commissionerate","GURUGRAM","DLF PHASE-1"
"Gurugram Commissionerate","GURUGRAM","DLF"
"Gurugram Commissionerate","GURUGRAM","DLF-II"
"Gurugram Commissionerate","GURUGRAM","FURRUKH NAGAR"
"Gurugram Commissionerate","GURUGRAM","GURGAON CITY"
"Gurugram Commissionerate","GURUGRAM","GURGAON SADAR"
"Gurugram Commissionerate","GURUGRAM","INDUSTRIAL SECTOR - 7"
"Gurugram Commissionerate","GURUGRAM","KHEDKI DAULA"
"Gurugram Commissionerate","GURUGRAM","MANESAR"
"Gurugram Commissionerate","GURUGRAM","METRO"
"Gurugram Commissionerate","GURUGRAM","NEW COLONY"
"Gurugram Commissionerate","GURUGRAM","PALAM VIHAR"
"Gurugram Commissionerate","GURUGRAM","PATAUDI"
"Gurugram Commissionerate","GURUGRAM","PS Cyber Manesar"
"Gurugram Commissionerate","GURUGRAM","PS Cyber South"
"Gurugram Commissionerate","GURUGRAM","PS Cyber West"
"Gurugram Commissionerate","GURUGRAM","RAJENDRA PARK"
"Gurugram Commissionerate","GURUGRAM","SECTOR - 37"
"Gurugram Commissionerate","GURUGRAM","SECTOR - 50"
"Gurugram Commissionerate","GURUGRAM","SECTOR - 53"
"Gurugram Commissionerate","GURUGRAM","SECTOR - 9A"
"Gurugram Commissionerate","GURUGRAM","SECTOR-10"
"Gurugram Commissionerate","GURUGRAM","SECTOR-14 Gurugram"
"Gurugram Commissionerate","GURUGRAM","SECTOR-17/18"
"Gurugram Commissionerate","GURUGRAM","SECTOR-40"
"Gurugram Commissionerate","GURUGRAM","SECTOR-5 GURGAON"
"Gurugram Commissionerate","GURUGRAM","SECTOR-56"
"Gurugram Commissionerate","GURUGRAM","SECTOR-65"
"Gurugram Commissionerate","GURUGRAM","SHIVAJI NAGAR"
"Gurugram Commissionerate","GURUGRAM","SOHNA"
"Gurugram Commissionerate","GURUGRAM","STF Central Unit Gurugram"
"Gurugram Commissionerate","GURUGRAM","STF HQ Gurugram"
"Gurugram Commissionerate","GURUGRAM","STF Unit Gurugram"
"Gurugram Commissionerate","GURUGRAM","SUSHANT LOK"
"Gurugram Commissionerate","GURUGRAM","TRAFFIC - I"
"Gurugram Commissionerate","GURUGRAM","TRAFFIC - II"
"Gurugram Commissionerate","GURUGRAM","TRAFFIC PS KMP GURUGRAM"
"Gurugram Commissionerate","GURUGRAM","UDYOG VIHAR"
"Gurugram Commissionerate","GURUGRAM","WOMEN POLICE STATION GURGAON"
"Gurugram Commissionerate","GURUGRAM","WOMEN PS MANESAR GURUGRAM"
"Gurugram Commissionerate","GURUGRAM","Women West Gurugram"
"Hisar Range","DABWALI","BARAGUDHA"
"Hisar Range","DABWALI","CITY MANDI DABWALI"
"Hisar Range","DABWALI","DABWALI SADAR"
"Hisar Range","DABWALI","KALAN WALI"
"Hisar Range","DABWALI","ODHAN"
"Hisar Range","DABWALI","RORI"
"Hisar Range","DABWALI","Women Police Station Dabwali"
"Hisar Range","FATEHABAD","BHATTU KALAN"
"Hisar Range","FATEHABAD","BHUNA"
"Hisar Range","FATEHABAD","CITY FATEHABAD"
"Hisar Range","FATEHABAD","CITY RATIA"
"Hisar Range","FATEHABAD","CITY TOHANA"
"Hisar Range","FATEHABAD","JAKHAL"
"Hisar Range","FATEHABAD","SADAR FATEHABAD"
"Hisar Range","FATEHABAD","SADAR RATTIA"
"Hisar Range","FATEHABAD","SADAR TOHANA"
"Hisar Range","FATEHABAD","WOMEN POLICE STATION"
"Hisar Range","HANSI","BASS"
"Hisar Range","HANSI","HANSI CITY"
"Hisar Range","HANSI","HANSI SADAR"
"Hisar Range","HANSI","NARNAUND"
"Hisar Range","HANSI","PS CYBER CRIME"
"Hisar Range","HANSI","PS Traffic Hansi"
"Hisar Range","HANSI","Women Police Station"
"Hisar Range","HISAR","ADAMPUR"
"Hisar Range","HISAR","AGROHA"
"Hisar Range","HISAR","AZAD NAGAR HISAR"
"Hisar Range","HISAR","BARWALA"
"Hisar Range","HISAR","Cyber Crime PS Hisar"
"Hisar Range","HISAR","HISAR CITY"
"Hisar Range","HISAR","HISAR CIVIL LINES"
"Hisar Range","HISAR","HISAR SADAR"
"Hisar Range","HISAR","HTM HISAR"
"Hisar Range","HISAR","Special Task Force Unit Hisar"
"Hisar Range","HISAR","TRAFFIC"
"Hisar Range","HISAR","UKLANA"
"Hisar Range","HISAR","URBAN ESTATE HISAR"
"Hisar Range","HISAR","WOMEN POLICE STATION"
"Hisar Range","JIND","ALEWA"
"Hisar Range","JIND","CITY SAFIDON"
"Hisar Range","JIND","Civil line Jind"
"Hisar Range","JIND","GARHI"
"Hisar Range","JIND","JIND CITY"
"Hisar Range","JIND","JIND SADAR"
"Hisar Range","JIND","JULANA"
"Hisar Range","JIND","NARWANA CITY"
"Hisar Range","JIND","NARWANA SADAR"
"Hisar Range","JIND","PILLU KHERA"
"Hisar Range","JIND","PS Cyber District Jind"
"Hisar Range","JIND","SAFIDON"
"Hisar Range","JIND","TRAFFIC"
"Hisar Range","JIND","UCHANA"
"Hisar Range","JIND","WOMEN POLICE STATION"
"Hisar Range","SIRSA","BARAGUDHA(Sirsa)"
"Hisar Range","SIRSA","CITY MANDI DABWALI(Sirsa)"
"Hisar Range","SIRSA","Cyber Crime PS Sirsa"
"Hisar Range","SIRSA","DABWALI SADAR(Sirsa)"
"Hisar Range","SIRSA","DING"
"Hisar Range","SIRSA","ELLENABAD"
"Hisar Range","SIRSA","KALAN WALI(Sirsa)"
"Hisar Range","SIRSA","NATHU SARAI CHOPTA"
"Hisar Range","SIRSA","ODHAN(Sirsa)"
"Hisar Range","SIRSA","PS Civil Line Sirsa"
"Hisar Range","SIRSA","RANIA"
"Hisar Range","SIRSA","RORI(Sirsa)"
"Hisar Range","SIRSA","SIRSA CITY"
"Hisar Range","SIRSA","SIRSA SADAR"
"Hisar Range","SIRSA","TRAFFIC"
"Hisar Range","SIRSA","WOMEN POLICE STATION"
"Hisar Range","SIRSA","Women PS Dabwali(Sirsa)"
"Jhajjar Commissionerate","JHAJJAR","ASAUDA"
"Jhajjar Commissionerate","JHAJJAR","BADLI"
"Jhajjar Commissionerate","JHAJJAR","BERI"
"Jhajjar Commissionerate","JHAJJAR","CITY BAHADURGARH"
"Jhajjar Commissionerate","JHAJJAR","CITY JHAJJAR"
"Jhajjar Commissionerate","JHAJJAR","DUJANA"
"Jhajjar Commissionerate","JHAJJAR","LINE PAR BAHADURGARH"
"Jhajjar Commissionerate","JHAJJAR","MACHHROLI"
"Jhajjar Commissionerate","JHAJJAR","PS Cyber Jhajjar"
"Jhajjar Commissionerate","JHAJJAR","SADAR BAHADURGARH"
"Jhajjar Commissionerate","JHAJJAR","SADAR JHAJJAR"
"Jhajjar Commissionerate","JHAJJAR","SAHLAWAS"
"Jhajjar Commissionerate","JHAJJAR","SECTOR-06 BAHADURGARH"
"Jhajjar Commissionerate","JHAJJAR","STF Unit Bahadurgarh"
"Jhajjar Commissionerate","JHAJJAR","TRAFFIC BAHADURGARH"
"Jhajjar Commissionerate","JHAJJAR","WOMEN POLICE STATION"
"Jhajjar Commissionerate","JHAJJAR","WOMEN PS BAHADURGARH JHAJJAR"
"Karnal Range","KAITHAL","CHEEKA"
"Karnal Range","KAITHAL","CIVIL LINE KAITHAL"
"Karnal Range","KAITHAL","Cyber Crime PS Kaithal"
"Karnal Range","KAITHAL","Dhand"
"Karnal Range","KAITHAL","GUHLA"
"Karnal Range","KAITHAL","KAITHAL CITY"
"Karnal Range","KAITHAL","KAITHAL SADAR"
"Karnal Range","KAITHAL","KALAYAT"
"Karnal Range","KAITHAL","PUNDRI"
"Karnal Range","KAITHAL","RAJAUND"
"Karnal Range","KAITHAL","SIWAN"
"Karnal Range","KAITHAL","TITRAM"
"Karnal Range","KAITHAL","TRAFFIC"
"Karnal Range","KAITHAL","WOMEN POLICE STATION"
"Karnal Range","KARNAL","ASSANDH"
"Karnal Range","KARNAL","BUTANA"
"Karnal Range","KARNAL","Cyber Crime PS Karnal"
"Karnal Range","KARNAL","GHARAUNDA"
"Karnal Range","KARNAL","INDRI"
"Karnal Range","KARNAL","KARNAL CITY"
"Karnal Range","KARNAL","KARNAL CIVIL LINES"
"Karnal Range","KARNAL","KARNAL SADAR"
"Karnal Range","KARNAL","KUNJPURA"
"Karnal Range","KARNAL","MADHUBAN"
"Karnal Range","KARNAL","MUNAK KARNAL"
"Karnal Range","KARNAL","NIGDHU KARNAL"
"Karnal Range","KARNAL","NISSING"
"Karnal Range","KARNAL","RAM NAGAR KARNAL"
"Karnal Range","KARNAL","SECTOR 32-33 KARNAL"
"Karnal Range","KARNAL","STF Unit Karnal"
"Karnal Range","KARNAL","TARAORI"
"Karnal Range","KARNAL","TRAFFIC"
"Karnal Range","KARNAL","WOMEN POLICE STATION"
"Karnal Range","KARNAL","Women PS Assand Karnal"
"Karnal Range","PANIPAT","BAPOLI"
"Karnal Range","PANIPAT","CHANDNIBAGH"
"Karnal Range","PANIPAT","Cyber Crime PS Panipat"
"Karnal Range","PANIPAT","ISRANA"
"Karnal Range","PANIPAT","Industrial Sector 29 Panipat"
"Karnal Range","PANIPAT","MATLAUDA"
"Karnal Range","PANIPAT","Model Town Panipat"
"Karnal Range","PANIPAT","Old Industrial Panipat"
"Karnal Range","PANIPAT","PANIPAT CITY"
"Karnal Range","PANIPAT","PANIPAT SADAR"
"Karnal Range","PANIPAT","Quilla Panipat"
"Karnal Range","PANIPAT","SAMALKHA"
"Karnal Range","PANIPAT","SANOLI"
"Karnal Range","PANIPAT","SECTOR 13/17 PANIPAT"
"Karnal Range","PANIPAT","TRAFFIC"
"Karnal Range","PANIPAT","Tehsil Camp Panipat"
"Karnal Range","PANIPAT","WOMEN POLICE STATION"
"Panchkula Commissionerate","PANCHKULA","CHANDIMANDIR"
"Panchkula Commissionerate","PANCHKULA","CYBER CRIME"
"Panchkula Commissionerate","PANCHKULA","KALKA"
"Panchkula Commissionerate","PANCHKULA","MANSA DEVI COMPLEX"
"Panchkula Commissionerate","PANCHKULA","PANCHKULA SECTOR-5"
"Panchkula Commissionerate","PANCHKULA","PINJORE"
"Panchkula Commissionerate","PANCHKULA","RAIPUR RANI"
"Panchkula Commissionerate","PANCHKULA","SECTOR-14 PANCHKULA"
"Panchkula Commissionerate","PANCHKULA","SECTOR-20"
"Panchkula Commissionerate","PANCHKULA","SECTOR-7 PANCHKULA"
"Panchkula Commissionerate","PANCHKULA","TRAFFIC"
"Panchkula Commissionerate","PANCHKULA","WOMEN POLICE STATION"
"Rohtak Range","BHIWANI","BAWANI KHERA"
"Rohtak Range","BHIWANI","BEHAL"
"Rohtak Range","BHIWANI","BHIWANI CITY"
"Rohtak Range","BHIWANI","BHIWANI CIVIL LINES"
"Rohtak Range","BHIWANI","BHIWANI SADAR"
"Rohtak Range","BHIWANI","BOND KALAN"
"Rohtak Range","BHIWANI","DADRI CITY"
"Rohtak Range","BHIWANI","DADRI SADAR"
"Rohtak Range","BHIWANI","JUI KALAN PS BHIWANI"
"Rohtak Range","BHIWANI","LOHARU"
"Rohtak Range","BHIWANI","PS INDUSTRIAL AREA"
"Rohtak Range","BHIWANI","SIWANI"
"Rohtak Range","BHIWANI","TOSHAM"
"Rohtak Range","BHIWANI","WOMEN POLICE STATION"
"Rohtak Range","CHARKHI DADRI","BADHRA"
"Rohtak Range","CHARKHI DADRI","BOND KALAN"
"Rohtak Range","CHARKHI DADRI","DADRI CITY"
"Rohtak Range","CHARKHI DADRI","DADRI SADAR"
"Rohtak Range","CHARKHI DADRI","JHOJHU KALAN"
"Rohtak Range","CHARKHI DADRI","Women Police Station"
"Rohtak Range","ROHTAK","ARYA NAGAR ROHTAK"
"Rohtak Range","ROHTAK","BAHUAKBARPUR"
"Rohtak Range","ROHTAK","Cyber PS Rohtak"
